Job Title,Employment Type,Expertise Level,Company Location,Salary in USD,Company Size,Year
Director of Data Science,Full-Time,Director,United States,250300,Medium,2023
ML Engineer,Full-Time,Expert,United States,262269,Medium,2023
ML Engineer,Full-Time,Expert,United States,230797,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,147100,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,90700,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Expert,United States,185000,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Expert,United States,145000,Medium,2023
Data Analyst,Full-Time,Expert,United Kingdom,123040,Medium,2023
Data Analyst,Full-Time,Expert,United Kingdom,92280,Medium,2023
BI Developer,Full-Time,Expert,United Kingdom,98432,Medium,2023
BI Developer,Full-Time,Expert,United Kingdom,62442,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,90000,Medium,2023
Data Analyst,Full-Time,Expert,United States,195000,Medium,2023
Data Analyst,Full-Time,Expert,United States,73500,Medium,2023
Data Infrastructure Engineer,Full-Time,Expert,United States,185000,Medium,2023
Data Infrastructure Engineer,Full-Time,Expert,United States,145000,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Expert,United States,158900,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Expert,United States,132400,Medium,2023
AI Engineer,Full-Time,Intermediate,United States,140000,Small,2023
Data Manager,Full-Time,Intermediate,United States,130000,Medium,2023
Data Manager,Full-Time,Intermediate,United States,100000,Medium,2023
Machine Learning Scientist,Full-Time,Expert,United States,163800,Medium,2023
Machine Learning Scientist,Full-Time,Expert,United States,126000,Medium,2023
Data Scientist,Full-Time,Expert,United States,111967,Medium,2023
Data Engineer,Full-Time,Expert,United States,205600,Large,2023
Data Engineer,Full-Time,Expert,United States,105700,Large,2023
Data Analyst,Full-Time,Intermediate,United States,104000,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,88000,Medium,2023
Data Engineer,Full-Time,Expert,United States,216027,Medium,2023
Data Engineer,Full-Time,Expert,United States,101028,Medium,2023
Data Scientist,Full-Time,Expert,Spain,48585,Medium,2023
Data Scientist,Full-Time,Expert,Spain,38868,Medium,2023
Applied Scientist,Full-Time,Expert,United States,309400,Large,2023
Applied Scientist,Full-Time,Expert,United States,159100,Large,2023
Data Analyst,Full-Time,Expert,United States,142000,Medium,2023
Data Analyst,Full-Time,Expert,United States,128000,Medium,2023
Data Engineer,Full-Time,Expert,United States,174350,Medium,2023
Data Engineer,Full-Time,Expert,United States,126800,Medium,2023
Data Scientist,Full-Time,Expert,United States,180000,Medium,2023
Data Scientist,Full-Time,Expert,United States,162000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,262000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,186000,Medium,2023
Data Analyst,Full-Time,Expert,Canada,129000,Medium,2023
Data Analyst,Full-Time,Expert,Canada,95000,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,175000,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,120000,Medium,2023
Data Analyst,Full-Time,Intermediate,United Kingdom,92280,Medium,2023
Data Analyst,Full-Time,Intermediate,United Kingdom,67672,Medium,2023
Applied Data Scientist,Full-Time,Junior,Italy,29691,Large,2023
Data Analyst,Full-Time,Expert,United States,130000,Small,2023
Data Analyst,Full-Time,Expert,United States,105000,Small,2023
Machine Learning Engineer,Full-Time,Expert,United States,232200,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,119000,Medium,2023
Data Scientist,Full-Time,Expert,United States,268000,Medium,2023
Data Scientist,Full-Time,Expert,United States,137500,Medium,2023
Data Analyst,Full-Time,Expert,United States,153300,Medium,2023
Data Analyst,Full-Time,Expert,United States,104244,Medium,2023
